# Generated from assets/fonts/lucide.ttf (best cmap, PUA only)
picture-in-picture	E3AE
picture-in-picture-2	E3AF
piggy-bank	E13A
pilcrow	E3A3
pilcrow-left	E5DC
pilcrow-right	E5DD
pilcrow-square	E48B
pill	E3BD
pill-bottle	E5EA
pin	E259
pin-off	E2B6
pipette	E13B
pizza	E354
plane	E1DE
plane-landing	E3CD
plane-takeoff	E3CE
play	E13C
play-square	E481
plug	E37F
plug-2	E380
plug-zap-2	E45C
plus	E13D
plus-square	E173
pocket	E13E
pocket-knife	E4A0
podcast	E1FA
pointer	E1E8
pointer-off	E57F
popcorn	E4BE
popsicle	E4BF
pound-sterling	E13F
power	E140
power-off	E209
power-square	E551
presentation	E4AE
printer	E141
printer-check	E5F5
projector	E4AF
proportions	E5CF
puzzle	E29C
pyramid	E52C
qr-code	E1DF
quote	E239
rabbit	E4F6
radar	E497
radiation	E442
radical	E5C2
radio	E142
radio-receiver	E1FB
radio-tower	E404
radius	E52D
rail-symbol	E501
rainbow	E4C2
rat	E3EB
ratio	E4E8
receipt	E3D3
receipt-cent	E5A5
receipt-euro	E5A6
receipt-indian-rupee	E5A7
receipt-japanese-yen	E5A8
receipt-pound-sterling	E5A9
receipt-russian-ruble	E5AA
receipt-swiss-franc	E5AB
receipt-text	E5AC
receipt-turkish-lira	E67F
rectangle-circle	E673
rectangle-goggles	E656
rectangle-horizontal	E376
rectangle-vertical	E377
recycle	E2E9
redo	E143
redo-2	E2A0
redo-dot	E450
refresh-ccw	E144
refresh-ccw-dot	E4B2
refresh-cw	E145
refresh-cw-off	E498
refrigerator	E37B
regex	E1FC
remove-formatting	E3B3
repeat	E146
repeat-1	E1FD
repeat-2	E411
replace	E3DB
replace-all	E3DC
reply	E22A
reply-all	E22B
rewind	E147
ribbon	E558
rocket	E286
rocking-chair	E233
roller-coaster	E480
rose	E691
rotate-3-d	E2EA
rotate-ccw	E148
rotate-ccw-key	E650
rotate-ccw-square	E5D0
rotate-cw	E149
rotate-cw-square	E5D1
route	E53E
route-off	E53F
router	E3BF
rows-2	E439
rows-4	E58B
rss	E14A
ruler	E14B
ruler-dimension-line	E662
russian-ruble	E14C
sailboat	E37E
salad	E3A8
sandwich	E3A9
satellite	E447
satellite-dish	E448
saudi-riyal	E64B
save	E14D
save-all	E40F
save-off	E5F3
scale	E212
scale-3-d	E2EB
scaling	E2EC
scan	E257
scan-barcode	E535
scan-eye	E536
scan-face	E371
scan-heart	E63A
scan-line	E258
scan-qr-code	E5F6
scan-search	E537
scan-text	E538
school	E3E3
school-2	E3E5
scissors	E14E
scissors-line-dashed	E4E9
scissors-square	E4EC
scissors-square-dashed-bottom	E4EB
scooter	E6AC
screen-share	E14F
screen-share-off	E150
scroll	E2ED
scroll-text	E45F
search	E151
search-check	E4AA
search-code	E4AB
search-slash	E4AC
search-x	E4AD
section	E5E8
send	E152
send-horizonal	E4F2
send-to-back	E4F3
separator-horizontal	E1C8
separator-vertical	E1C9
server	E153
server-cog	E341
server-crash	E1E9
server-off	E1EA
settings	E154
settings-2	E245
shapes	E4B3
share	E155
share-2	E156
sheet	E157
shell	E4F7
shield	E158
shield-alert	E1FE
shield-ban	E159
shield-check	E1FF
shield-close	E200
shield-ellipsis	E516
shield-half	E517
shield-minus	E518
shield-off	E15A
shield-plus	E519
shield-question-mark	E40E
shield-user	E647
ship	E3BA
ship-wheel	E502
shirt	E1CA
shopping-bag	E15B
shopping-basket	E4EA
shopping-cart	E15C
shovel	E15D
shower-head	E37C
shredder	E65B
shrimp	E649
shrink	E220
shrub	E2EE
shuffle	E15E
sigma	E201
sigma-square	E489
signal	E25F
signal-high	E260
signal-low	E261
signal-medium	E262
signal-zero	E263
signature	E5F2
signpost	E540
signpost-big	E541
siren	E2EF
skip-back	E15F
skip-forward	E160
skull	E221
slack	E161
slash	E51D
slash-square	E174
slice	E2F0
sliders-horizontal	E29A
sliders-vertical	E162
smartphone	E163
smartphone-charging	E22E
smartphone-nfc	E3C4
smile	E164
smile-plus	E301
snail	E4F8
snowflake	E165
soap-dispenser-droplet	E669
sofa	E2C4
solar-panel	E69F
soup	E3AA
space	E3DD
spade	E499
sparkle	E47E
sparkles	E412
speaker	E166
speech	E51E
spell-check	E49A
spell-check-2	E49B
